,event_id,subject_id,timestamp,session_index,plane,setup,task,block,trial_index,stim_number,stim_type,stim_country_ids,stim_sexes,stim_talker_ids,speaker_ids,stim_level,resp_number,is_correct,speaker_distance_mean,speaker_distance_st_dev,reaction_time,spectral_coverage
0,,sub_110,2024-07-08 10:43:18,3,distance,cathedral,numerosity_judgement,1,0,5,countries_forward,"['_Congo_', '_Yemen_', '_Cuba_', '_Oman_', '_Belgium_']","['m', 'f', 'f', 'm', 'm']","['p256', 'p245', 'p284', 'p307', 'p318']","[3, 4, 8, 6, 0]","[89.14911522239515, 89.31368318402099, 92.0152836843556, 91.58892582949886, 84.40078082039426]",3.0,False,6.2,3.03315017762062,2.31233549118042,0.7946317103620475
0,,sub_110,2024-07-08 10:43:21,3,distance,cathedral,numerosity_judgement,1,1,3,countries_forward,"['_Togo_', '_Peru_', '_Yemen_']","['m', 'f', 'f']","['p307', 'p245', 'p248']","[1, 4, 5]","[86.2038576498559, 89.31368318402099, 90.34149293193902]",2.0,False,5.333333333333333,2.0816659994661326,1.3749003410339355,0.7509136306889116
0,,sub_110,2024-07-08 10:43:24,3,distance,cathedral,numerosity_judgement,1,2,2,countries_forward,"['_Congo_', '_Yemen_']","['m', 'm']","['p229', 'p256']","[4, 7]","[89.31368318402099, 91.73820004985969]",4.0,False,7.5,2.1213203435596424,1.1874148845672607,0.6806037907161503
0,,sub_110,2024-07-08 10:43:28,3,distance,cathedral,numerosity_judgement,1,3,4,countries_forward,"['_Sudan_', '_Mali_', '_Syria_', '_Tonga_']","['f', 'f', 'f', 'm']","['p245', 'p284', 'p268', 'p307']","[7, 8, 10, 4]","[91.73820004985969, 92.0152836843556, 93.00003341222717, 89.31368318402099]",5.0,False,9.25,2.5,1.749875545501709,0.9376688230620814
0,,sub_110,2024-07-08 10:43:31,3,distance,cathedral,numerosity_judgement,1,4,6,countries_forward,"['_Sudan_', '_Cuba_', '_Japan_', '_Oman_', '_Syria_', '_Tonga_']","['m', 'm', 'f', 'm', 'f', 'f']","['p229', 'p318', 'p248', 'p307', 'p245', 'p268']","[4, 2, 0, 5, 8, 9]","[89.31368318402099, 87.57049330475357, 84.40078082039426, 90.34149293193902, 92.0152836843556, 92.00610777531934]",5.0,False,6.666666666666667,3.444802848737017,1.8123431205749512,0.9084666893655656
0,,sub_110,2024-07-08 10:43:34,3,distance,cathedral,numerosity_judgement,1,5,5,countries_forward,"['_Oman_', '_Yemen_', '_Belgium_', '_Cuba_', '_Britain_']","['f', 'f', 'm', 'f', 'f']","['p245', 'p284', 'p256', 'p268', 'p248']","[10, 8, 9, 7, 1]","[93.00003341222717, 92.0152836843556, 92.00610777531934, 91.73820004985969, 86.2038576498559]",6.0,False,9.0,3.5355339059327378,1.1874172687530518,0.7730564067642719
0,,sub_110,2024-07-08 10:43:37,3,distance,cathedral,numerosity_judgement,1,6,2,countries_forward,"['_Peru_', '_Mali_']","['m', 'm']","['p318', 'p229']","[2, 0]","[87.57049330475357, 84.40078082039426]",2.0,True,3.0,1.4142135623730951,1.3749046325683594,0.9059811599137442
0,,sub_110,2024-07-08 10:43:41,3,distance,cathedral,numerosity_judgement,1,7,6,countries_forward,"['_Togo_', '_Mali_', '_Oman_', '_Yemen_', '_Peru_', '_Britain_']","['f', 'm', 'f', 'm', 'f', 'm']","['p268', 'p318', 'p245', 'p307', 'p248', 'p256']","[7, 1, 2, 8, 0, 6]","[91.73820004985969, 86.2038576498559, 87.57049330475357, 92.0152836843556, 84.40078082039426, 91.58892582949886]",4.0,False,6.0,3.40587727318528,1.7498750686645508,0.7939620928384973
0,,sub_110,2024-07-08 10:43:45,3,distance,cathedral,numerosity_judgement,1,8,4,countries_forward,"['_Yemen_', '_Peru_', '_Togo_', '_Tonga_']","['m', 'f', 'm', 'f']","['p256', 'p248', 'p318', 'p245']","[4, 9, 8, 6]","[89.31368318402099, 92.00610777531934, 92.0152836843556, 91.58892582949886]",3.0,False,8.75,2.217355782608345,2.187343120574951,0.7267052547951425
0,,sub_110,2024-07-08 10:43:48,3,distance,cathedral,numerosity_judgement,1,9,3,countries_forward,"['_Cuba_', '_Tonga_', '_Yemen_']","['f', 'f', 'm']","['p268', 'p245', 'p256']","[10, 6, 5]","[93.00003341222717, 91.58892582949886, 90.34149293193902]",3.0,True,9.0,2.6457513110645907,1.4998924732208252,0.7057655203722619
