Unnamed: 0,event_id,subject_id,timestamp,session_index,plane,setup,task,block,trial_index,stim_number,stim_type,stim_country_ids,stim_sexes,stim_talker_ids,speaker_ids,stim_level,resp_number,is_correct,speaker_distance_mean,speaker_distance_st_dev,reaction_time,spectral_coverage
0,,sub_109,2024-07-01 14:21:57,3,distance,cathedral,numerosity_judgement,1,0,5,countries_forward,"['_Cuba_', '_Mali_', '_Syria_', '_Sudan_', '_Belgium_']","['m', 'm', 'm', 'f', 'f']","['p256', 'p307', 'p318', 'p268', 'p284']","[5, 4, 2, 1, 9]","[90.34149293193902, 89.31368318402099, 87.57049330475357, 86.2038576498559, 92.00610777531934]",3.0,False,6.2,3.1144823004794877,4.31024169921875,0.8978436045851776
0,,sub_109,2024-07-01 14:22:01,3,distance,cathedral,numerosity_judgement,1,1,3,countries_forward,"['_Cuba_', '_Yemen_', '_Oman_']","['f', 'f', 'm']","['p245', 'p268', 'p256']","[7, 6, 9]","[91.73820004985969, 91.58892582949886, 92.00610777531934]",3.0,True,9.333333333333334,1.5275252316519468,3.3086562156677246,0.6788446260356372
0,,sub_109,2024-07-01 14:22:07,3,distance,cathedral,numerosity_judgement,1,2,4,countries_forward,"['_Britain_', '_Sudan_', '_Belgium_', '_Syria_']","['f', 'f', 'm', 'm']","['p268', 'p245', 'p307', 'p318']","[7, 2, 1, 8]","[91.73820004985969, 87.57049330475357, 86.2038576498559, 92.0152836843556]",2.0,False,6.5,3.5118845842842465,4.108660697937012,0.9344001815911928
0,,sub_109,2024-07-01 14:22:12,3,distance,cathedral,numerosity_judgement,1,3,2,countries_forward,"['_Syria_', '_Peru_']","['f', 'f']","['p284', 'p268']","[4, 1]","[89.31368318402099, 86.2038576498559]",2.0,True,4.5,2.1213203435596424,2.809213876724243,0.9263420724094882
0,,sub_109,2024-07-01 14:22:18,3,distance,cathedral,numerosity_judgement,1,4,6,countries_forward,"['_Sudan_', '_Cuba_', '_Britain_', '_Belgium_', '_Yemen_', '_Syria_']","['m', 'm', 'f', 'f', 'm', 'm']","['p307', 'p229', 'p245', 'p284', 'p256', 'p318']","[3, 6, 1, 10, 9, 2]","[89.14911522239515, 91.58892582949886, 86.2038576498559, 93.00003341222717, 92.00610777531934, 87.57049330475357]",5.0,False,7.166666666666667,3.763863263545405,4.0458104610443115,0.8319940982862332
0,,sub_109,2024-07-01 14:22:23,3,distance,cathedral,numerosity_judgement,1,5,3,countries_forward,"['_Yemen_', '_Congo_', '_Peru_']","['f', 'f', 'm']","['p284', 'p245', 'p318']","[2, 5, 8]","[87.57049330475357, 90.34149293193902, 92.0152836843556]",3.0,True,7.0,3.0,3.422647714614868,0.8493020088525707
0,,sub_109,2024-07-01 14:22:27,3,distance,cathedral,numerosity_judgement,1,6,5,countries_forward,"['_Sudan_', '_Yemen_', '_Cuba_', '_Britain_', '_Belgium_']","['f', 'm', 'm', 'f', 'f']","['p268', 'p318', 'p307', 'p248', 'p284']","[5, 4, 6, 0, 1]","[90.34149293193902, 89.31368318402099, 91.58892582949886, 84.40078082039426, 86.2038576498559]",6.0,False,5.2,2.588435821108957,1.80872106552124,0.9300760413119964
0,,sub_109,2024-07-01 14:22:32,3,distance,cathedral,numerosity_judgement,1,7,2,countries_forward,"['_Tonga_', '_Congo_']","['m', 'f']","['p256', 'p245']","[5, 8]","[90.34149293193902, 92.0152836843556]",2.0,True,8.5,2.1213203435596424,3.4370663166046143,0.7441720576552038
0,,sub_109,2024-07-01 14:22:35,3,distance,cathedral,numerosity_judgement,1,8,4,countries_forward,"['_Togo_', '_Syria_', '_Sudan_', '_Tonga_']","['m', 'm', 'f', 'f']","['p256', 'p307', 'p245', 'p248']","[10, 3, 0, 1]","[93.00003341222717, 89.14911522239515, 84.40078082039426, 86.2038576498559]",3.0,False,5.5,4.509249752822894,2.1248531341552734,0.8923050732039496
0,,sub_109,2024-07-01 14:22:39,3,distance,cathedral,numerosity_judgement,1,9,6,countries_forward,"['_Cuba_', '_Congo_', '_Togo_', '_Yemen_', '_Mali_', '_Peru_']","['m', 'f', 'f', 'f', 'm', 'f']","['p307', 'p245', 'p268', 'p248', 'p256', 'p284']","[4, 2, 10, 3, 6, 8]","[89.31368318402099, 87.57049330475357, 93.00003341222717, 89.14911522239515, 91.58892582949886, 92.0152836843556]",5.0,False,7.5,3.082207001484488,1.999861240386963,0.721632050845534
0,,sub_109,2024-07-01 14:22:44,3,distance,cathedral,numerosity_judgement,1,10,4,countries_forward,"['_Britain_', '_Mali_', '_Peru_', '_Oman_']","['f', 'f', 'm', 'm']","['p268', 'p248', 'p318', 'p229']","[0, 4, 1, 3]","[84.40078082039426, 89.31368318402099, 86.2038576498559, 89.14911522239515]",3.0,False,4.0,1.8257418583505536,2.611130952835083,0.6887413460447168
0,,sub_109,2024-07-01 14:22:50,3,distance,cathedral,numerosity_judgement,1,11,6,countries_forward,"['_Yemen_', '_Cuba_', '_Tonga_', '_Togo_', '_Peru_', '_Britain_']","['m', 'f', 'f', 'f', 'f', 'm']","['p256', 'p245', 'p248', 'p268', 'p284', 'p307']","[6, 10, 8, 5, 7, 3]","[91.58892582949886, 93.00003341222717, 92.0152836843556, 90.34149293193902, 91.73820004985969, 89.14911522239515]",4.0,False,8.5,2.4289915602982237,3.984151840209961,0.756996935648621
0,,sub_109,2024-07-01 14:22:53,3,distance,cathedral,numerosity_judgement,1,12,2,countries_forward,"['_Syria_', '_Tonga_']","['f', 'm']","['p245', 'p318']","[10, 2]","[93.00003341222717, 87.57049330475357]",2.0,True,8.0,5.656854249492381,1.798642635345459,0.9000794461468619
0,,sub_109,2024-07-01 14:22:57,3,distance,cathedral,numerosity_judgement,1,13,3,countries_forward,"['_Britain_', '_Mali_', '_Cuba_']","['m', 'm', 'm']","['p256', 'p229', 'p318']","[8, 3, 7]","[92.0152836843556, 89.14911522239515, 91.73820004985969]",3.0,True,8.0,2.6457513110645907,1.8096303939819336,0.7618318011576438
0,,sub_109,2024-07-01 14:23:00,3,distance,cathedral,numerosity_judgement,1,14,5,countries_forward,"['_Tonga_', '_Togo_', '_Peru_', '_Mali_', '_Britain_']","['f', 'f', 'm', 'm', 'm']","['p268', 'p245', 'p256', 'p229', 'p307']","[9, 1, 10, 4, 5]","[92.00610777531934, 86.2038576498559, 93.00003341222717, 89.31368318402099, 90.34149293193902]",3.0,False,7.8,3.7013511046643495,1.874870777130127,0.7712064464873454
0,,sub_109,2024-07-01 14:23:05,3,distance,cathedral,numerosity_judgement,1,15,6,countries_forward,"['_Yemen_', '_Belgium_', '_Oman_', '_Cuba_', '_Mali_', '_Peru_']","['m', 'm', 'm', 'f', 'f', 'f']","['p318', 'p307', 'p256', 'p245', 'p248', 'p268']","[8, 0, 1, 3, 6, 4]","[92.0152836843556, 84.40078082039426, 86.2038576498559, 89.14911522239515, 91.58892582949886, 89.31368318402099]",3.0,False,5.666666666666667,3.011090610836324,2.374836683273315,0.7344796277380548
0,,sub_109,2024-07-01 14:23:09,3,distance,cathedral,numerosity_judgement,1,16,4,countries_forward,"['_Yemen_', '_Oman_', '_Peru_', '_Togo_']","['m', 'm', 'f', 'm']","['p229', 'p307', 'p268', 'p256']","[9, 5, 3, 10]","[92.00610777531934, 90.34149293193902, 89.14911522239515, 93.00003341222717]",2.0,False,8.75,3.304037933599835,2.7208375930786133,0.6414935875610033
0,,sub_109,2024-07-01 14:23:14,3,distance,cathedral,numerosity_judgement,1,17,5,countries_forward,"['_Togo_', '_Cuba_', '_Congo_', '_Sudan_', '_Yemen_']","['f', 'm', 'm', 'f', 'm']","['p245', 'p229', 'p307', 'p268', 'p256']","[2, 9, 7, 6, 10]","[87.57049330475357, 92.00610777531934, 91.73820004985969, 91.58892582949886, 93.00003341222717]",3.0,False,8.8,3.1144823004794873,3.110196113586426,0.8590057882192713
0,,sub_109,2024-07-01 14:23:21,3,distance,cathedral,numerosity_judgement,1,18,3,countries_forward,"['_Oman_', '_Mali_', '_Peru_']","['m', 'm', 'm']","['p307', 'p256', 'p318']","[5, 6, 10]","[90.34149293193902, 91.58892582949886, 93.00003341222717]",2.0,False,9.0,2.6457513110645907,4.797504425048828,0.6453864487572353
0,,sub_109,2024-07-01 14:23:25,3,distance,cathedral,numerosity_judgement,1,19,2,countries_forward,"['_Peru_', '_Yemen_']","['m', 'm']","['p318', 'p256']","[6, 4]","[91.58892582949886, 89.31368318402099]",2.0,True,7.0,1.4142135623730951,3.364795207977295,0.6299171490182726
