,event_id,subject_id,timestamp,session_index,plane,setup,task,block,trial_index,stim_number,stim_type,stim_country_ids,stim_sexes,stim_talker_ids,speaker_ids,stim_level,resp_number,is_correct,speaker_distance_mean,speaker_distance_st_dev,reaction_time,spectral_coverage
0,,sub_103_collocated,2024-08-07 11:54:57,3,distance,cathedral,numerosity_judgement,1,0,3,countries_reversed,"['_Cuba_reversed', '_Tonga_reversed', '_Oman_reversed']","['m', 'f', 'f']","['p307', 'p284', 'p245']","[7, 9, 5]","[91.73820004985969, 92.00610777531934, 90.34149293193902]",3.0,True,9.0,2.0,3.1247832775115967,0.5873453637498581
0,,sub_103_collocated,2024-08-07 11:55:02,3,distance,cathedral,numerosity_judgement,1,1,6,countries_reversed,"['_Congo_reversed', '_Belgium_reversed', '_Syria_reversed', '_Mali_reversed', '_Togo_reversed', '_Cuba_reversed']","['f', 'f', 'f', 'm', 'm', 'm']","['p284', 'p268', 'p248', 'p229', 'p256', 'p307']","[1, 10, 4, 3, 5, 7]","[86.2038576498559, 93.00003341222717, 89.31368318402099, 89.14911522239515, 90.34149293193902, 91.73820004985969]",4.0,False,7.0,3.1622776601683795,2.4998257160186768,0.8046078765179889
0,,sub_103_collocated,2024-08-07 11:55:07,3,distance,cathedral,numerosity_judgement,1,2,2,countries_reversed,"['_Togo_reversed', '_Tonga_reversed']","['f', 'm']","['p245', 'p256']","[7, 5]","[91.73820004985969, 90.34149293193902]",2.0,True,8.0,1.4142135623730951,3.0935351848602295,0.7134377482692089
0,,sub_103_collocated,2024-08-07 11:55:10,3,distance,cathedral,numerosity_judgement,1,3,4,countries_reversed,"['_Yemen_reversed', '_Peru_reversed', '_Japan_reversed', '_Syria_reversed']","['m', 'f', 'f', 'm']","['p256', 'p284', 'p268', 'p229']","[2, 1, 0, 3]","[87.57049330475357, 86.2038576498559, 84.40078082039426, 89.14911522239515]",4.0,True,3.5,1.2909944487358056,1.6248877048492432,0.9497900351832936
0,,sub_103_collocated,2024-08-07 11:55:14,3,distance,cathedral,numerosity_judgement,1,4,5,countries_reversed,"['_Togo_reversed', '_Japan_reversed', '_Britain_reversed', '_Congo_reversed', '_Syria_reversed']","['f', 'm', 'm', 'm', 'f']","['p268', 'p256', 'p307', 'p318', 'p248']","[7, 0, 6, 5, 4]","[91.73820004985969, 84.40078082039426, 91.58892582949886, 90.34149293193902, 89.31368318402099]",5.0,True,6.4,2.701851217221259,1.8436200618743896,0.858983089320168
0,,sub_103_collocated,2024-08-07 11:55:18,3,distance,cathedral,numerosity_judgement,1,5,6,countries_reversed,"['_Syria_reversed', '_Yemen_reversed', '_Oman_reversed', '_Peru_reversed', '_Sudan_reversed', '_Cuba_reversed']","['m', 'f', 'm', 'f', 'f', 'm']","['p256', 'p248', 'p307', 'p268', 'p284', 'p318']","[2, 3, 5, 6, 0, 10]","[87.57049330475357, 89.14911522239515, 90.34149293193902, 91.58892582949886, 84.40078082039426, 93.00003341222717]",4.0,False,6.333333333333333,3.5023801430836525,1.6092636585235596,0.6612870275791624
0,,sub_103_collocated,2024-08-07 11:55:22,3,distance,cathedral,numerosity_judgement,1,6,4,countries_reversed,"['_Oman_reversed', '_Yemen_reversed', '_Britain_reversed', '_Mali_reversed']","['m', 'm', 'm', 'm']","['p229', 'p318', 'p307', 'p256']","[5, 7, 9, 6]","[90.34149293193902, 91.73820004985969, 92.00610777531934, 91.58892582949886]",2.0,False,8.75,1.707825127659933,2.5154495239257812,0.6135966405629327
0,,sub_103_collocated,2024-08-07 11:55:26,3,distance,cathedral,numerosity_judgement,1,7,3,countries_reversed,"['_Cuba_reversed', '_Sudan_reversed', '_Oman_reversed']","['f', 'f', 'f']","['p245', 'p248', 'p268']","[10, 9, 4]","[93.00003341222717, 92.00610777531934, 89.31368318402099]",2.0,False,9.666666666666666,3.214550253664318,2.10922908782959,0.7472704573828169
0,,sub_103_collocated,2024-08-07 11:55:30,3,distance,cathedral,numerosity_judgement,1,8,5,countries_reversed,"['_Mali_reversed', '_Congo_reversed', '_Tonga_reversed', '_Cuba_reversed', '_Japan_reversed']","['m', 'f', 'f', 'm', 'm']","['p318', 'p268', 'p248', 'p229', 'p307']","[4, 9, 1, 0, 10]","[89.31368318402099, 92.00610777531934, 86.2038576498559, 84.40078082039426, 93.00003341222717]",4.0,False,6.8,4.54972526643093,1.390528678894043,0.957223924639655
0,,sub_103_collocated,2024-08-07 11:55:33,3,distance,cathedral,numerosity_judgement,1,9,2,countries_reversed,"['_Yemen_reversed', '_Mali_reversed']","['f', 'f']","['p268', 'p248']","[5, 1]","[90.34149293193902, 86.2038576498559]",2.0,True,5.0,2.8284271247461903,1.5155181884765625,0.891283622744297
